date,product,quantity
2024-01-01,LED Smart Bulb 9W RGB WiFi,8
2024-01-01,Crystal Cascade Chandelier 600mm,2
2024-01-01,Glass Pendant Light Ø300mm Clear,4
2024-01-01,LED Panel Ceiling Light 600×600 40W,1
2024-01-01,Modern Wall Sconce Brushed Nickel,3
2024-01-02,LED Smart Bulb 9W RGB WiFi,10
2024-01-02,Desk Lamp LED 10W Touch Control,5
2024-01-02,RGB LED Strip 5m SMD5050 Waterproof,6
2024-01-02,Industrial Pendant Light Black Matte 400mm,2
2024-01-02,LED Downlight 12W 3000K Round,3
2024-01-03,LED Smart Bulb 9W RGB WiFi,12
2024-01-03,Dimmable LED Bulb 5W 2700K Soft White,8
2024-01-03,Modern Pendant Light Adjustable Height Gold,3
2024-01-03,Flush-Mount Ceiling Light Round 1200mm,2
2024-01-03,Reading Wall Lamp ARM Adjustable 500mm,4
2024-01-04,LED Track Light 20W Black Rail,5
2024-01-04,LED Smart Bulb 9W RGB WiFi,9
2024-01-04,Garden Light LED Spike 400mm,6
2024-01-04,Smart LED Strip 5m RGB + Controller,4
2024-01-04,Color-Changing LED Bulb E27 7W,7
2024-01-05,Reading Floor Lamp LED Ring 1600mm,3
2024-01-05,LED Smart Bulb 9W RGB WiFi,11
2024-01-05,Glass Pendant Light Ø300mm Clear,5
2024-01-05,Desk Lamp LED 10W Touch Control,4
2024-01-05,Modern Linear Chandelier 8-Light Brushed Nickel,1
2024-01-06,LED Smart Bulb 9W RGB WiFi,13
2024-01-06,RGB LED Strip 5m SMD5050 Waterproof,7
2024-01-06,LED Downlight 12W 3000K Round,4
2024-01-06,Garden Lantern Solar Powered 600mm,2
2024-01-06,Adjustable Spotlight 10W Track Mount,3
2024-01-07,LED Smart Bulb 9W RGB WiFi,10
2024-01-07,Industrial Pendant Light Black Matte 400mm,6
2024-01-07,Smart LED Strip 5m RGB + Controller,5
2024-01-07,Decorative Ceiling Light Gold Finish 500mm,2
2024-01-07,Modern Wall Sconce Brushed Nickel,4
2024-01-08,LED Smart Bulb 9W RGB WiFi,14
2024-01-08,Dimmable LED Bulb 5W 2700K Soft White,9
2024-01-08,Desk Lamp LED 10W Touch Control,6
2024-01-08,LED Track Light 20W Black Rail,3
2024-01-08,Color-Changing LED Bulb E27 7W,8
2024-01-09,LED Smart Bulb 9W RGB WiFi,11
2024-01-09,Glass Pendant Light Ø300mm Clear,4
2024-01-09,RGB LED Strip 5m SMD5050 Waterproof,5
2024-01-09,Pathway Light Stainless Steel 600mm,3
2024-01-09,LED Emergency Light Built-In Battery 4W,2
2024-01-10,LED Smart Bulb 9W RGB WiFi,12
2024-01-10,Reading Floor Lamp LED Ring 1600mm,4
2024-01-10,Smart LED Strip 5m RGB + Controller,6
2024-01-10,Adjustable Recessed Light 15W Square,3
2024-01-10,Modern Pendant Light Adjustable Height Gold,2
2024-01-11,LED Smart Bulb 9W RGB WiFi,10
2024-01-11,Crystal Cascade Chandelier 600mm,1
